#Ropa,#Deportivo,#RopaInvierno,#RopaVerano,#RopaCaballero,#RopaDama,Competidor
75,85,58,55,70,25,todoropamedellin
68,45,48,19,3,9,roperomedellin
83,35,63,80,46,15,ropasportmedellin
79,56,19,77,69,62,bearsclothes
52,21,64,32,54,42,onethelandfashionmx
77,89,71,65,47,14,feriaquelarre
55,43,18,16,19,32,peachyclother
98,29,26,28,59,32,diamondsweat
46,71,20,63,4,2,instagirbogota
72,24,78,25,9,6,mulonprestige07
3,6,16,22,11,4,foreverslimboutique
80,53,12,16,35,5,bakanasfit
20,34,60,45,40,14,tiantian8707
54,29,22,59,5,9,feriafrida
39,19,65,16,25,14,dreambigshowroom
41,59,87,28,22,11,rosaliaguat
33,75,46,17,52,24,alerastore
56,19,20,21,15,19,isabellapimenta
62,26,17,63,24,8,ateneaclothing




